domain,questions,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,mean_retrieval_ms
Business and management,3,1.0,1.0,1.0,1.0,1.0,360.3590556692022
Climate and environment,3,1.0,1.0,1.0,1.0,1.0,25.250666663244676
Cybersecurity,3,1.0,1.0,1.0,1.0,1.0,15.293888999925306
Education,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5370370370370371,12.119361005413035
Finance and economics,3,0.3333333333333333,0.6666666666666666,1.0,1.0,0.5666666666666667,21.36045832594391
Healthcare and biology,3,1.0,1.0,1.0,1.0,1.0,15.524819338073334
History and culture,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.346139004880873
Law and public policy,3,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,11.490847333334386
Space and science,3,1.0,1.0,1.0,1.0,1.0,11.52866666476863
Technology and AI,3,1.0,1.0,1.0,1.0,1.0,13.850097331063202
